"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042254","GO:0042254","ribosome biogenesis","48/329","214/11306",1.71104217072273e-29,2.96694712403321e-26,2.71965650293823e-26,"FBgn0086912/FBgn0039182/FBgn0026196/FBgn0259937/FBgn0032925/FBgn0030067/FBgn0010292/FBgn0037137/FBgn0284251/FBgn0033741/FBgn0263510/FBgn0011824/FBgn0034243/FBgn0038964/FBgn0265192/FBgn0028744/FBgn0052409/FBgn0023542/FBgn0261286/FBgn0001341/FBgn0038146/FBgn0022288/FBgn0022069/FBgn0033379/FBgn0033661/FBgn0029148/FBgn0086451/FBgn0030504/FBgn0266581/FBgn0038473/FBgn0036686/FBgn0030061/FBgn0033169/FBgn0024364/FBgn0027330/FBgn0038597/FBgn0037073/FBgn0038968/FBgn0026702/FBgn0034933/FBgn0003062/FBgn0036886/FBgn0034073/FBgn0036254/FBgn0030720/FBgn0032701/FBgn0033485/FBgn0036187",48
"GO:0006364","GO:0006364","rRNA processing","38/329","142/11306",1.71164069892108e-26,1.48399248596457e-23,1.36030392387938e-23,"FBgn0039182/FBgn0026196/FBgn0259937/FBgn0030067/FBgn0010292/FBgn0037137/FBgn0284251/FBgn0033741/FBgn0263510/FBgn0011824/FBgn0038964/FBgn0265192/FBgn0028744/FBgn0052409/FBgn0261286/FBgn0038146/FBgn0022069/FBgn0029148/FBgn0086451/FBgn0030504/FBgn0266581/FBgn0036686/FBgn0030061/FBgn0033169/FBgn0024364/FBgn0027330/FBgn0038597/FBgn0037073/FBgn0038968/FBgn0026702/FBgn0034933/FBgn0003062/FBgn0036886/FBgn0034073/FBgn0036254/FBgn0030720/FBgn0033485/FBgn0036187",38
"GO:0016072","GO:0016072","rRNA metabolic process","39/329","160/11306",1.64366075142749e-25,9.50035914325091e-23,8.70851836721233e-23,"FBgn0039182/FBgn0026196/FBgn0259937/FBgn0030067/FBgn0010292/FBgn0037137/FBgn0284251/FBgn0033741/FBgn0263510/FBgn0011824/FBgn0038964/FBgn0265192/FBgn0028744/FBgn0052409/FBgn0261286/FBgn0001341/FBgn0038146/FBgn0022069/FBgn0029148/FBgn0086451/FBgn0030504/FBgn0266581/FBgn0036686/FBgn0030061/FBgn0033169/FBgn0024364/FBgn0027330/FBgn0038597/FBgn0037073/FBgn0038968/FBgn0026702/FBgn0034933/FBgn0003062/FBgn0036886/FBgn0034073/FBgn0036254/FBgn0030720/FBgn0033485/FBgn0036187",39
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","48/329","307/11306",3.42837459258876e-22,1.48620038588723e-19,1.36232779863396e-19,"FBgn0086912/FBgn0039182/FBgn0026196/FBgn0259937/FBgn0032925/FBgn0030067/FBgn0010292/FBgn0037137/FBgn0284251/FBgn0033741/FBgn0263510/FBgn0011824/FBgn0034243/FBgn0038964/FBgn0265192/FBgn0028744/FBgn0052409/FBgn0023542/FBgn0261286/FBgn0001341/FBgn0038146/FBgn0022288/FBgn0022069/FBgn0033379/FBgn0033661/FBgn0029148/FBgn0086451/FBgn0030504/FBgn0266581/FBgn0038473/FBgn0036686/FBgn0030061/FBgn0033169/FBgn0024364/FBgn0027330/FBgn0038597/FBgn0037073/FBgn0038968/FBgn0026702/FBgn0034933/FBgn0003062/FBgn0036886/FBgn0034073/FBgn0036254/FBgn0030720/FBgn0032701/FBgn0033485/FBgn0036187",48
"GO:0034470","GO:0034470","ncRNA processing","38/329","286/11306",2.67304860327402e-15,9.2701325561543e-13,8.49748082303951e-13,"FBgn0039182/FBgn0026196/FBgn0259937/FBgn0030067/FBgn0010292/FBgn0037137/FBgn0284251/FBgn0033741/FBgn0263510/FBgn0011824/FBgn0038964/FBgn0265192/FBgn0028744/FBgn0052409/FBgn0261286/FBgn0038146/FBgn0022069/FBgn0029148/FBgn0086451/FBgn0030504/FBgn0266581/FBgn0036686/FBgn0030061/FBgn0033169/FBgn0024364/FBgn0027330/FBgn0038597/FBgn0037073/FBgn0038968/FBgn0026702/FBgn0034933/FBgn0003062/FBgn0036886/FBgn0034073/FBgn0036254/FBgn0030720/FBgn0033485/FBgn0036187",38
"GO:0034660","GO:0034660","ncRNA metabolic process","39/329","366/11306",1.60506630619667e-12,4.63864162490838e-10,4.25201775852101e-10,"FBgn0039182/FBgn0026196/FBgn0259937/FBgn0030067/FBgn0010292/FBgn0037137/FBgn0284251/FBgn0033741/FBgn0263510/FBgn0011824/FBgn0038964/FBgn0265192/FBgn0028744/FBgn0052409/FBgn0261286/FBgn0001341/FBgn0038146/FBgn0022069/FBgn0029148/FBgn0086451/FBgn0030504/FBgn0266581/FBgn0036686/FBgn0030061/FBgn0033169/FBgn0024364/FBgn0027330/FBgn0038597/FBgn0037073/FBgn0038968/FBgn0026702/FBgn0034933/FBgn0003062/FBgn0036886/FBgn0034073/FBgn0036254/FBgn0030720/FBgn0033485/FBgn0036187",39
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","14/329","54/11306",2.68823687186297e-10,6.65914676544342e-08,6.1041168067866e-08,"FBgn0032925/FBgn0030067/FBgn0033741/FBgn0028744/FBgn0052409/FBgn0033379/FBgn0033661/FBgn0266581/FBgn0038473/FBgn0030061/FBgn0038968/FBgn0034073/FBgn0030720/FBgn0033485",14
"GO:0006082","GO:0006082","organic acid metabolic process","36/329","381/11306",3.804273804151e-10,8.2457634704973e-08,7.55849137403686e-08,"FBgn0012034/FBgn0002719/FBgn0000565/FBgn0013308/FBgn0001142/FBgn0005626/FBgn0261625/FBgn0032076/FBgn0036992/FBgn0003965/FBgn0013772/FBgn0027348/FBgn0022774/FBgn0011770/FBgn0010383/FBgn0038984/FBgn0261955/FBgn0260942/FBgn0037955/FBgn0001248/FBgn0033246/FBgn0037818/FBgn0020236/FBgn0283427/FBgn0038957/FBgn0036157/FBgn0037513/FBgn0034215/FBgn0037709/FBgn0040349/FBgn0034629/FBgn0038742/FBgn0042627/FBgn0053110/FBgn0052068/FBgn0027580",36
"GO:0019752","GO:0019752","carboxylic acid metabolic process","35/329","377/11306",1.09204898637032e-09,2.03282277691667e-07,1.863390028012e-07,"FBgn0012034/FBgn0002719/FBgn0000565/FBgn0013308/FBgn0001142/FBgn0005626/FBgn0261625/FBgn0032076/FBgn0036992/FBgn0003965/FBgn0013772/FBgn0027348/FBgn0022774/FBgn0011770/FBgn0038984/FBgn0261955/FBgn0260942/FBgn0037955/FBgn0001248/FBgn0033246/FBgn0037818/FBgn0020236/FBgn0283427/FBgn0038957/FBgn0036157/FBgn0037513/FBgn0034215/FBgn0037709/FBgn0040349/FBgn0034629/FBgn0038742/FBgn0042627/FBgn0053110/FBgn0052068/FBgn0027580",35
"GO:0043436","GO:0043436","oxoacid metabolic process","35/329","378/11306",1.17233147457709e-09,2.03282277691667e-07,1.863390028012e-07,"FBgn0012034/FBgn0002719/FBgn0000565/FBgn0013308/FBgn0001142/FBgn0005626/FBgn0261625/FBgn0032076/FBgn0036992/FBgn0003965/FBgn0013772/FBgn0027348/FBgn0022774/FBgn0011770/FBgn0038984/FBgn0261955/FBgn0260942/FBgn0037955/FBgn0001248/FBgn0033246/FBgn0037818/FBgn0020236/FBgn0283427/FBgn0038957/FBgn0036157/FBgn0037513/FBgn0034215/FBgn0037709/FBgn0040349/FBgn0034629/FBgn0038742/FBgn0042627/FBgn0053110/FBgn0052068/FBgn0027580",35
"GO:0000154","GO:0000154","rRNA modification","8/329","22/11306",1.05801744152876e-07,1.66782022146443e-05,1.52880989158701e-05,"FBgn0259937/FBgn0037137/FBgn0033741/FBgn0011824/FBgn0029148/FBgn0027330/FBgn0003062/FBgn0030720",8
"GO:0030490","GO:0030490","maturation of SSU-rRNA","11/329","49/11306",1.16229539015791e-07,1.67951683877818e-05,1.53953161327933e-05,"FBgn0052409/FBgn0086451/FBgn0036686/FBgn0033169/FBgn0027330/FBgn0038597/FBgn0037073/FBgn0034933/FBgn0036886/FBgn0036254/FBgn0036187",11
"GO:0000469","GO:0000469","cleavage involved in rRNA processing","8/329","23/11306",1.58146782760891e-07,2.10943477928758e-05,1.9336165341615e-05,"FBgn0265192/FBgn0052409/FBgn0029148/FBgn0036686/FBgn0033169/FBgn0037073/FBgn0034073/FBgn0036254",8
"GO:0000466","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","7/329","17/11306",2.50889879209112e-07,3.10745036106143e-05,2.84844900455458e-05,"FBgn0265192/FBgn0052409/FBgn0033169/FBgn0038968/FBgn0034073/FBgn0036254/FBgn0030720",7
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","12/329","67/11306",4.29955308049611e-07,4.9702833610535e-05,4.55601765020991e-05,"FBgn0086912/FBgn0052409/FBgn0086451/FBgn0036686/FBgn0033169/FBgn0027330/FBgn0038597/FBgn0037073/FBgn0034933/FBgn0036886/FBgn0036254/FBgn0036187",12
"GO:0000460","GO:0000460","maturation of 5.8S rRNA","8/329","26/11306",4.66825337979882e-07,5.05921960035697e-05,4.63754118651067e-05,"FBgn0030067/FBgn0265192/FBgn0052409/FBgn0033169/FBgn0038968/FBgn0034073/FBgn0036254/FBgn0030720",8
"GO:0000479","GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","6/329","13/11306",8.37905981829268e-07,8.54664101465853e-05,7.83429122329532e-05,"FBgn0052409/FBgn0036686/FBgn0033169/FBgn0037073/FBgn0034073/FBgn0036254",6
"GO:0000470","GO:0000470","maturation of LSU-rRNA","7/329","21/11306",1.35649644132858e-06,0.000118120370273076,0.000108275213447669,"FBgn0030067/FBgn0033741/FBgn0028744/FBgn0266581/FBgn0038968/FBgn0034073/FBgn0030720",7
"GO:0000054","GO:0000054","ribosomal subunit export from nucleus","6/329","14/11306",1.43052351541787e-06,0.000118120370273076,0.000108275213447669,"FBgn0034243/FBgn0052409/FBgn0023542/FBgn0033379/FBgn0033661/FBgn0033169",6
"GO:0000478","GO:0000478","endonucleolytic cleavage involved in rRNA processing","6/329","14/11306",1.43052351541787e-06,0.000118120370273076,0.000108275213447669,"FBgn0052409/FBgn0036686/FBgn0033169/FBgn0037073/FBgn0034073/FBgn0036254",6
"GO:0033750","GO:0033750","ribosome localization","6/329","14/11306",1.43052351541787e-06,0.000118120370273076,0.000108275213447669,"FBgn0034243/FBgn0052409/FBgn0023542/FBgn0033379/FBgn0033661/FBgn0033169",6
