"","logFC","logCPM","LR","PValue","FDR"
"FBgn0042206",-2.58288924820564,2.4763036677287,172.944645544497,1.68289884793967e-39,2.65056568550498e-35
"FBgn0032839",-2.78018682885828,3.7355981523254,147.477293444369,6.17154089754716e-34,4.86008845681839e-30
"FBgn0010044",-3.14312137893697,2.36064669134691,137.665517515302,8.62463653150544e-32,4.52793417904036e-28
"FBgn0051288",-2.3095106122432,5.53103040261489,131.542937208657,1.88355967379206e-30,7.41651621555624e-27
"FBgn0010043",-3.52949105510562,1.11298199957079,123.091153082251,1.33187378780849e-28,4.19540243159676e-25
"FBgn0263336",-1.80135504694476,5.06444993204043,104.479042975967,1.58864862343923e-24,4.17020263652798e-21
"FBgn0261393",-1.18526630153359,4.78491206460336,93.3830652500824,4.30922070932335e-22,9.69574659597754e-19
"FBgn0027565",0.905485563717241,4.4351718407699,90.4133415278173,1.9325858819291e-21,3.80477845504792e-18
"FBgn0035743",-3.07715001796128,1.93235498145215,77.5053887410434,1.32360855989553e-18,2.31631497981717e-15
"FBgn0261560",1.48776045323483,8.57474310187187,76.3212454426605,2.41076274272637e-18,3.79695131979402e-15
"FBgn0033792",-2.34505396934876,2.37646356166254,75.9825280435363,2.8618576586382e-18,4.09765982941379e-15
"FBgn0033205",-1.92168842174121,4.83707787157844,71.6552411441796,2.56280445159192e-17,3.36368084271439e-14
"FBgn0038302",-1.29006870508214,3.08849725620131,70.6041411291183,4.36599627922714e-17,5.2895724152175e-14
"FBgn0030189",-1.27443917066159,3.63234432402139,70.0082541567131,5.90568199689669e-17,6.64389224650878e-14
"FBgn0036749",-1.47486744592753,1.94077724941567,68.6947541847596,1.14946280284645e-16,1.20693594298877e-13
"FBgn0010041",-3.11809422611894,2.877467200035,66.9104277048798,2.84127994134163e-16,2.79688494225817e-13
"FBgn0010038",-2.26080939672225,2.09761723554285,65.7120365594357,5.21861763232205e-16,4.83489574759249e-13
"FBgn0039319",-1.85471385685106,3.17067489793095,65.4266915839058,6.03164109818135e-16,5.27768596090868e-13
"FBgn0040732",-1.93427215433788,8.56748845410553,64.674111090404,8.83683243405629e-16,7.32526899138877e-13
"FBgn0030955",-1.56287532501066,3.92409411975789,60.2896441803001,8.18770387232442e-15,6.44781679945548e-12
"FBgn0031559",-2.52360114088673,2.35360526775896,60.1613037645935,8.73935553804076e-15,6.55451665353057e-12
"FBgn0034756",-1.83485602112475,3.14826852685892,59.933155345772,9.81342978948575e-15,7.02552359929094e-12
"FBgn0038455",-1.35122746665458,3.50036411103565,59.6238857198332,1.14832949379437e-14,7.86356066402665e-12
"FBgn0030101",0.947667509908589,5.16781105404789,57.4490331000279,3.46851664817015e-14,2.27621405036166e-11
"FBgn0032699",1.93712884398871,6.37567176914329,57.1565870390858,4.02457640516099e-14,2.53548313525142e-11
"FBgn0031693",-1.30417214306166,5.1862259890236,56.6134933815499,5.30465852456352e-14,3.21339891391829e-11
"FBgn0051633",-0.731887615693238,3.58219141540068,56.0693002602715,6.99610443426815e-14,4.08106091998975e-11
"FBgn0053510",-2.13825798027665,0.715363649075254,55.7236572727112,8.34084847194406e-14,4.67391816946571e-11
"FBgn0038083",-3.77167707535629,0.167177946790179,55.662148697305,8.60594456600035e-14,4.67391816946571e-11
"FBgn0037899",1.14606214236831,7.18614872269945,54.6327051240148,1.45297381192852e-13,7.62811251262474e-11
"FBgn0028396",-1.96671404784877,8.67623424782825,52.1541670747911,5.1309852251854e-13,2.60687152569903e-10
"FBgn0039509",0.789727328492755,4.37124546670547,51.3845240348035,7.59347951347735e-13,3.73741569803964e-10
"FBgn0037724",-1.98169680607893,5.24080218462272,51.1281943029344,8.65265356778451e-13,4.11727989004409e-10
"FBgn0270926",-1.22233086141809,5.66183324687517,51.0754949891698,8.88809627057136e-13,4.11727989004409e-10
"FBgn0037913",-1.16663086764472,6.9128420102694,50.2969109964307,1.3215740679148e-12,5.94708330561659e-10
"FBgn0263832",0.824138125331478,5.59326888241963,49.837360280119,1.67032952923687e-12,7.17805736454167e-10
"FBgn0032668",-2.08707539477394,-0.29022235920469,49.8187200559615,1.68627379357487e-12,7.17805736454167e-10
"FBgn0036240",-1.16922466149159,3.53317855169059,47.7671388637206,4.79969927661193e-12,1.98934904227994e-09
"FBgn0030607",-1.00521822457641,4.84635437194643,47.5797239234536,5.28118979256628e-12,2.13278818545946e-09
"FBgn0085195",-2.50822137316778,7.51794795014631,46.9284008774352,7.36279693586292e-12,2.89910129349603e-09
"FBgn0037898",1.35389765705351,2.04280782291686,46.1692806170294,1.08464353290299e-11,4.16661844956637e-09
"FBgn0036622",-0.937344689031889,5.04780925220596,45.9103596133896,1.23789599745094e-11,4.58028455031511e-09
"FBgn0030161",-2.15053451841695,1.09136483976703,45.8905293511574,1.2504903851654e-11,4.58028455031511e-09
"FBgn0250843",-0.770323401830424,5.9571308869613,44.3428665353806,2.75614486939894e-11,9.86574583932576e-09
"FBti0019174",-3.85676628363597,-0.611385851755771,44.2726126567496,2.85685207338324e-11,9.99898225684134e-09
"FBgn0042179",-1.65024346320682,4.15910724012677,43.8945726263463,3.46548508188725e-11,1.18655195738531e-08
"FBgn0002563",-2.87097140505176,9.18932463176852,43.7974007703535,3.64188376232013e-11,1.22041849482004e-08
"FBgn0037345",-1.19795281279365,2.21519718017593,43.211787258265,4.9123848822307e-11,1.61187628948195e-08
"FBgn0053301",-1.74343701095575,4.21015696091587,42.8500532523549,5.91004757702276e-11,1.89965814975732e-08
"FBgn0031190",0.619952399860817,7.14621805351723,42.2112850559752,8.19258967510383e-11,2.5806657476577e-08
"FBgn0034542",0.868081909527143,6.08222289724122,41.7833677985207,1.01967127271229e-10,3.09853055508271e-08
"FBgn0262825",-2.39667648287918,3.74620434170297,41.7769821669497,1.02300691342413e-10,3.09853055508271e-08
"FBgn0039306",0.682266927337014,3.35818205440089,41.6506229707297,1.09130612793839e-10,3.24303236132636e-08
"FBgn0039316",-1.47886352938226,5.71404183274823,41.3624749214465,1.26461833395939e-10,3.68847014071488e-08
"FBgn0037354",-1.31874599325658,5.35418145666112,40.1415489822833,2.36211150525389e-10,6.76422840140887e-08
"FBgn0063492",-1.0707977285076,4.13872061969215,39.9343219084805,2.62647277331438e-10,7.38695467494669e-08
"FBgn0035977",0.917915774166005,2.57659761865187,39.7233571436804,2.92605108142756e-10,8.08514114604984e-08
"FBgn0038168",0.592311322436052,4.98380015487467,38.6982250670484,4.94658666374213e-10,1.34325413713687e-07
"FBgn0038738",-0.648170374636927,6.69758890244845,38.6511150192071,5.06743007806605e-10,1.35274616490746e-07
"FBgn0038702",-2.0250099770925,5.33919860527787,38.4766155699633,5.54136865928602e-10,1.45460927306258e-07
"FBgn0004431",-4.09885125716567,1.93398879589561,38.3594491352307,5.88424810763121e-10,1.51929356877363e-07
